序号,问题,是否区分产品/产品名称,人员,相关问题（多个词条用中文分号；连接）,类型,标签/关键词/同义词（多个词条用中文分号；连接）,答案,相关链接,可见性/访问权限
11,母源污染对于CNVseq检测有什么影响？,CNVseq,,,产品技术,母源污染；MCC,由于CNVseq检测是基于低深度全基因组方法对受检样本进行染色体层面的检测，若样本中混入了母体来源的信息，则会导致胎儿样本检测结果受到影响，严重影响结果准确性，如男胎胎儿样本混入了母体基因组信息，则会导致男胎性染色体异常结果。,,公开
12,CNVseq产品哪些会做母源污染检测？,CNVseq,,,产品技术,母源污染；MCC,CNVseq目前华大一共包含三类产品：康孕®-染色体1M、康孕®-染色体100K和康孕®-染色体100K plus检测产品。其中，1M产品默认不做母源污染，100k生信提示有母源污染后会通过STR方法进行母源污染排查；100K plus产品会同事通过高通量方法检测染色体变异和STR方法排查母源污染。,,公开
13,母源污染的样本后续报告如何处理？,CNVseq,,,产品技术,母源污染；MCC,母源污染验证出来结果大于30%，实验组就会发母源污染的质控报告，母源污染的比例低于30%建议可以进行后续生信解读,,公开
14,母源污染检测方法是什么？如何送检？,CNVseq,,,产品技术,母源污染；MCC；STR,"CNVseq母源污染检测是用STR方法，STR是短串联重复序列(short tandem repeat,STR)简称。STR是人类基因组DNA中广泛存在的一类具有高度多态性和遗传稳定性的遗传标序列，核心序列为2-6个碱基，经过几次到几十次串联重复，构成特定的DNA片段遗传标记。个体同一等位基因上这种序列重复次数不同，呈多态性并按孟德尔规律呈共显性遗传，因此选取几个STR位点可作为一有效个体识别标志，具有极强的特异性。结合PCR技术，使得此技术具有极强的灵敏度。选取具有高杂合度和高多态性的STR位点，应用多重PCR对羊水、绒毛、胎儿组织等进行母血污染鉴定。母源污染STR检测需要同时送检母亲外周血和胎儿样本。通过母亲和胎儿STR结果判断胎儿样本中是否存在母源污染。",,公开
15,什么是三倍体？,CNVseq,,,产品技术,三倍体；STR,正常人类染色体是二倍体，三倍体是指精卵受精时亲代同源染色体在减数分裂过程中不分离，基因重组后胚胎比正常二倍体胚胎多出了一套单倍体染色体。三倍体综合症属于一种染色体非整倍性畸变现象，具有发育障碍、四指合并、眼距宽、鼻梁低、严重宫内生长受限、先天性心脏病等临床表现，其核型有69XXY、69XXX、69XXY几种不同类型。,,公开
16,CNVseq产品哪些会做胎儿三倍体检测？,CNVseq,,,产品技术,三倍体；STR,CNVseq目前华大一共包含三类产品：康孕®-染色体1M、康孕®-染色体100K和康孕®-染色体100K plus检测产品。1M和100K Plus产品默认对胎儿进行三倍体STR检测。100K产品默认不做三倍体检测。,,公开
17,三倍体检测方法是什么？,CNVseq,,,产品技术,三倍体；STR,"CNVseq胎儿三倍体检测是用STR方法，STR是短串联重复序列(short tandem repeat,STR)简称。STR是人类基因组DNA中广泛存在的一类具有高度多态性和遗传稳定性的遗传标序列，核心序列为2-6个碱基，经过几次到几十次串联重复，构成特定的DNA片段遗传标记。个体同一等位基因上这种序列重复次数不同，呈多态性并按孟德尔规律呈共显性遗传，因此选取几个STR位点可作为一有效个体识别标志，具有极强的特异性。",,公开
18,什么是UPD？,CNVseq,,,产品技术,单亲二体；UPD,UPD是Uniparental Disomy即单亲二体，对于人类若某条染色体都来自于父亲或者母亲，则该染色体为单亲二体。,,公开
19,UPD有哪些类型？,CNVseq,,,产品技术,单亲二体；UPD,"单亲二体主要包括以下几种类型：
单亲同二体（iUPD）：两条染色体同时来源于父母一方的一条同源染色体，从基因型上看整条染色体都是纯合子
单亲异二体（hUPD）：两条染色体来源于父母一方的两条同源染色体，基因型上看不表现为全部的纯合子，有杂合子，并且和父母一方的基因型完全一致
混合型二体（mixUPD）：由于染色体重组，部分表现为单亲同二体，部分表现为单亲异二体
片段型二体（segUPD）：整条染色体中只有一部分表现为UPD",,公开
20,单亲二体和单亲二倍体区别？,CNVseq,,,产品技术,单亲二体；UPD；单亲二倍体,UPD单亲二体是指对于人类某条染色体都来自于父亲或者母亲现象；单亲二倍体是指是所有的染色体都是UPD现象。,,公开
21,华大基因CNVseq产品嵌合体报出规则？,CNVseq,,,产品技术,嵌合体,染色体病或基因组病中包括少数嵌合体（即两种或两种以上的细胞系混合）引起的疾病。本检测仅报出嵌合比例＞10%的染色体非整倍性嵌合体以及嵌合比例＞30%且长度超过 5Mb 的 CNV 嵌合体。其他情况的嵌合体会根据特定情形选择性报出。因基因结构的复杂性，在异常细胞系比例较低或片段较小或结构特殊的情况下，本检测可能无法准确检出。,,公开
22,CNVseq检测样本类型有哪些，对应的样本检测要求是什么？,CNVseq,,CNVseq可以检测哪些样本？,样本类型,样本类型；样本要求,"胚胎绒毛、组织、胎儿组织样本：采用流产组织染色体检测采集器。绒毛组织尽量完整；胎儿组织若体积过大可切取蚕豆大小(>100mg)，需要注意取样侯用生理盐水或磷酸缓冲盐溶液(PBS)冲洗样本至无血色； 切勿培养、固定、包埋及福尔马林处理。
外周血样本：采用EDTA抗凝管(塑料材质)；儿童或成年人:≥5 mL，新生儿:≥1mL；需要注意不可用肝素抗凝采血管取样。
DNA样本：采用1.5mL的EP管；浓度:≥30ng/μL，OD260/280:1.8-2.0之间，含量:≥3μg；注意DNA储存液不可含十二烷基硫酸钠(SDS)等表面活性剂。",,公开
23,CNVseq检测试剂盒是否有阴性和阳性质控品，阳性和阴性质控品具体是什么？,CNVseq,,,试剂盒,质控品；试剂盒,试剂盒有阴性和阳性质控品，阳性质控品为T16。,,公开
24,CNVseq如果质控品检测结果与预期不符，后续处理方案分别是什么?,CNVseq,,,实验质控,质控品；失败,质控品若出现结果不一致，代表可能存在和批次内混样的可能，需要实验进行排查。,,公开
25,CNVseq单个批次检测，对于样本类型是否有要求？（比如性别/数量）若有，请简述单个批次检测的样本类型要求,CNVseq,,,检测要求,分析对样本要求,CNVseq产品对于单个批次检测无样本个数要求，单个样本既可以分析。,,公开
26,CNVseq不同测序仪一个批次最少和多可以上机多少个样本？,CNVseq,,,检测要求,测序通量,CNVseq产品对于单个批次检测无样本个数要求，单个样本既可以分析。因此不同测序平台最少上样量除过阴阳性质控品之外，1个临床样本即可进行分析。MGISEQ-2000平台，100K最多可上机10*4个，1M最多可上机30*4个； BGISEQ 500平台，100K最多可上机15*2个，1M最多可上机48*2个；MGISEQ 200平台，100K最多可上机12个，1M最多可上机48个。,,公开
27,CNVseq实验环节的测序策略是什么？,CNVseq,,,检测要求,测序策略；测序长度,BGISEQ-500平台和MGISEQ-2000平台用的测序试剂是SE35，测序也是SE35；MGISEQ-200平台，测序试剂是SE50，测序是SE35测序。,,公开
28,CNVseq实验采用单Barcode还是双Barcode？建库是否采用PCR-Free建库？,CNVseq,,,检测要求,建库引物；建库策略,CNVseq检测采用单barcode建库，建库不采用PCR-free建库。,,公开
29,客户送检了CNVseq母源污染，母源污染质控失败但是NGS检测合格，原因是什么？,CNVseq,,,实验质控,母源污染；MCC；质控,母源污染和NGS属于两种不同的方法学。不同方法学会质控要求不同，比如对于NGS检测方法DNA浓度质控达到2.5ng/ul，建库浓度能达到2ng/ul即可,,公开
30,流产组织CNVseq检测质控不通过需从哪些方向查找原因？,CNVseq,,,实验质控,质控；流产组织,流产组织CNVseq检测质控不通过需要注意样本本身问题还是建库测序过程中问题，样本本身的问题需要考虑样本是否宫内死胎时间久才流出；是否高温放置太久；是否运输过程未冷冻运输；取出是否未及时放置低温。,,公开
31,哪些检测结果会进行NGS检测方法之外的验证，对应的验证方法是什么？,CNVseq,,,实验验证,验证；sanger；Qpcr,CNVseq目前华大一共包含三类产品：1M、100K和100K plus产品。其中，1M产品包括三倍体、CNV检测；100K包括病原、CNV的检测；100K Plus产品包括母源污染、三倍体、CNV、病原、LOH检测。母源污染和三倍体需要用STR方法进行验证，病原生信提示阳性的样本需要进行Qpcr检测，LOH需要用MS-Qpcr进行检测。如果CNV断点涉及到影响HI基因/基因组，断点涉及到致病性判定的改变，建议进行qpcr验证CNV断点。,,公开
32,华大STR检测共检测多少个基因座？,CNVseq,,,实验验证,STR验证,华大STR一共针对23个基因座进行检测。,,公开
33,CNV-seq的硬质控包括什么？,CNV-seq,,,生信,一级质控；硬质控,"CNV-seq的硬质控包括有效数据量（唯一比对reads数，uniqe reads,UR）和数据波动，康孕1M的有效数据量需大于4M，康孕100K的有效数据量需大于18M。",,公开
34,CNV-seq的软质控包括什么？阈值多少？,CNV-seq,,,生信,二级质控；软质控,"CNV-seq的软质控包括唯一比对reads的GC含量正常取值范围为[38%, 43%]；数据质量的评估参数变异系数（CV）的正常取值范围100K为[0, 0.0800]，1M为[0, 0.1000]。",,公开
35,CV值是什么意思？,CNV-seq,,,生信,CV；质控,"CV指的是变异系数（coefficient of variation），反应数据波动程度。正常取值范围100K为[0, 0.0800]，1M为[0, 0.1000]。",,公开
36,UR未通过质控可能的原因是什么？,CNV-seq,,,生信,UR；质控失败,"如果出现UR未通过质控的情况，可能有如下几种原因：
1、定量不准确；2、Pooling过程取液体积不准确；3、不同barcode在复制过程中的扩增效率有差异；4、不同样本比对率有差异（污染、样本质量等导致）。",,公开
37,数据波动未通过质控可能的原因是什么？,CNV-seq,,,生信,数据波动；质控失败,"如果出现数据波动未通过质控的情况，可能的原因有：
1、有效数据量较少；2、样本质量问题，如稽留流产样本或者样本反复冻融或者样本存储不当等常呈现较大的数据波动",,公开
38,GC未通过质控可能的原因是什么？,CNV-seq,,,生信,GC；质控失败,"对于人类来说，基因组的GC含量一般在38%~43%。影响GC含量的因素有很多种原因：
1、一般与建库，提取，试剂有一定关系，不同批次它们的GC会有一定的差异；
2、barcode碱基不平衡也会影响GC含量，一般解决方式建库按照8的倍数（1-8）来解决，或者增加平衡文库解决；
3、设备光学模块异常，可能会影响GC含量；
4、PCR扩增具有GC偏好性，对于大于50%的GC含量区域，扩增效率显著降低
所以，对于大批量GC异常的样本，可从试剂、barcode、设备等方面去排查异常原因；对于偶发样本，首先从样本本身的质量排查原因。",,公开
39,CNV-seq生信分析一批时长？,CNV-seq,,,生信,分析时长,CNV-seq生信单批次分析时长受计算资源、样本量、样本数据量的影响，通常情况的一体机单批次运行时长约3~6小时。,,公开
40,CNV-seq样本下机数据有多大？,CNV-seq,,,生信,下机数据,CNV-seq样本下机数据量受测序平台、单芯片样本个数的影响，一般情况，康孕1M的样本下机数据约为0.5G，康孕100K的下机数据约为1.5G。,,公开
41,CNV的过滤原则是什么？,CNV-seq,,,生信,CNV检测,"CNV的过滤原则如下：
（1）片段大小：不报康1M小于1M的CNV；康100K小于100K的CNV
（2）染色体区域：不报染色体端粒区域、着丝粒区域、随体及随体柄等高度重复区域、N区等
（3）高频区域：不报本地库内汇总的高频区域
（4）小片段嵌合：不报片段长度小于5M、嵌合低于30%的CNV",,公开
42,CNV-seq划定窗口的size多大？,CNV-seq,,,生信,CNV检测,CNV-seq采用两种窗口size来检测CNV，5k的小窗口适用于size较小的CNV的检出，50K的大窗口适用于size较大的CNV的检出，结合两种窗口对染色体进行窗口划定可以提高CNV检测的准确度和敏感度。,,仅内部访问
43,CNV嵌合报出阈值是什么？,CNV-seq,,,生信,CNV检测,对于嵌合CNV，一般来说，只有CNV片段长度大于等于5M且嵌合度大于等于30%才能报出。对于长片段CNV，若数据均一性较好，嵌合度不足30%也可酌情报出，且放入补充报告。,,公开
44,非整倍性报出阈值是什么？,CNV-seq,,,生信,非整倍性检测,一般来说，染色体非整倍性的嵌合度大于10%才会报出，少数特殊染色体如17、19、22，由于其特殊性（如高GC等原因）容易出现数据波动，尤其是在流产组织中，因此一般大于20%才会报出。但如果数据均一性较好，或与主诉相符，嵌合度高于5%且低于10%也会报出。,,公开
45,样本编号S、B、D分别代表什么？,CNV-seq,,,生信,样本编号,样本编号中的S代表羊水、流产组织、产前绒毛、流产物绒毛等，B代表脐带血、全血，D代表DNA。羊水、脐带血、产前绒毛一般用于B超畸形、nifty高危后的诊断检测。,,公开
46,CNV-seq算法原理是什么？,CNV-seq,,,生信,算法,CNV-seq使用PSCC算法进行检测，它是一种基于低深度全基因组测序的灵敏且可靠的拷贝数变异检测方法。它使用Read Depth进行检测，断点模糊，但可精确的检测拷贝数的变化。,,公开
47,CNV-seq比对规则是什么？,CNV-seq,,,生信,算法,CNV-seq的比对原则是使用仅允许两个碱基的错配模式，将测序得到的碱基序列用华大自主开发的比对软件SOAP比对到人类参考基因组上（hg19），且剔除未比对到人类基因组上reads及多处比对的reads。,,公开
48,为什么要划分窗口？,CNV-seq,,,生信,算法,CNV-seq采用低深度低覆盖度全基因组测序，无法覆盖到所有位点，所以需要将基因组按照一定size划分窗口，计算窗口内的reads数来进行CNV的检测。,,公开
49,CNV-seq算法中的两步矫正指的是什么？,CNV-seq,,,生信,算法,相关研究表明，窗口的reads数和GC含量相关，有GC偏好性，GC含量小于50%且GC越高的窗口reads数越多，GC含量大于50%且GC越高的窗口reads数快速减少。另外，一些复杂的基因组区域表现出群体相似性。因此，CNV-seq需要进行GC矫正和群体矫正这两步矫正。,,公开
50,CNV-seq对于CNV断点的检测采用什么算法？,CNV-seq,,,生信,算法,"CNV-seq采用循环二元分割法进行CNV断点的判断。也就是说我们只需找到两组窗口数据，它们拥有共同的索引位点，只需证明这两组窗口数据分属不同的分布函数或者这两组窗口数据有显著差异，即可证明此索引位点为断点。
步骤：
a）将各窗口的坐标，各窗口的Copy Ratio值作为对象；
b）随机取一个窗口坐标作为假定初始断裂点，对窗口左右两个集合采用Wald-Wolfowitz run test检验，判定该断裂点是否为真
c）多次迭代步骤 b），生成多个断裂点集合即CNV区段
d）对步骤 c）生成个多个区段进行两步检验(U-test和Parallelism-test)，根据P值判断区段的可信度，挑选出可信的变异区域。",,仅内部访问
51,CNV-seq产品生信环节是否可以提示母源污染，母源污染比例达到多大比例生信环节可以提示？,CNV-seq,,,生信,母源污染,CNV-seq生信环节可以在一定程度上提示母源污染。对于非整倍体嵌合或者大片段的CNV嵌合，可怀疑母源污染；对于男胎X染色体和Y染色体同时发生X染色体嵌合重复和Y染色体嵌合缺失，可怀疑母源污染。其他情况的母源污染，CNV-seq无法感知。,,公开
52,CNV-seq过滤的着丝粒和灰区具体是指什么？,CNV-seq,,,生信,过滤,CNVseq过滤的着丝粒区域主要是染色体高度固缩区，一般是测序的盲区；灰区主要是参考基因组上的N区，也就是未知碱基的区域。,,
53,什么是copy ratio？,CNV-seq,,CNVseq copy ratio是如何计算的？,生信,copy ratio,copy ratio是指CNV的相对拷贝率，可直观反应染色体或者CNV的拷贝数,,
54,CNV-seq copy ratio是如何计算的？,CNV-seq,,,生信,copy ratio,窗口的copy ratio是校正后的GC含量除以同GC下校正的总的GC含量再乘以群体系数；CNV的copy ratio值是区域内所有窗口copy ratio的平均值。,,
55,什么是拷贝数？,CNV-seq,,,生信,拷贝数,拷贝数，是指某个基因或某段染色体在某一生物的基因组中的个数。,,
56,CNV-seq拷贝数是如何计算的？,CNV-seq,,,生信,拷贝数,CNV-seq不直接计算拷贝数，而是通过计算Copy ratio值推断拷贝数。,,
57,CNV-seq 拷贝数和copy ratio有什么关系？,CNV-seq,,,生信,copy ratio；拷贝数,CNV-seq通过计算Copy ratio值推断拷贝数。,,
58,CNV-seq拷贝数为0、1、2、3、4对应的阈值是什么？,CNV-seq,,,生信,拷贝数,对于常染色体Copy ratio理论值：Copy ratio为0.5是1拷贝，1是2拷贝，1.5是3拷贝。实际Copy ratio<0.7是缺失，对应一个拷贝；0.7<Copy ratio<1.3，可能就是正常的两个拷贝；Copy ratio值>1.3可能是重复。,,
59,CNV-seq对于家系样本是否会进行亲缘关系验证？原理是什么？CNVseq家系样本亲缘关系异常需要如何处理？,CNV-seq,,,生信,亲缘验证,CNV-seq不会对家系样本做验证，对于家系样本会关注报出的CNV的相关性与一致性。,,
60,CNV-seq是否会进行性别校验？对于产后样本，流程分析性别和前端提供信息不一致，如何处理？,CNV-seq,,,生信,性别,CNV-seq会对性别进行校验。若流程分析结果与前端提供性别不一致，会在审核邮件中提示异常，并进行相关排查和数据回顾。,,
61,什么是CNV散点图，CNV散点图中灰色区域代表了什么？,CNV-seq,,,生信,散点图,cnv散点图是对所有染色体的所有区域的窗口额copy ratio值进行散点图的绘制，并在此基础上用不同颜色标识出正常窗口，缺失窗口和重复窗口，便于直观的理解检测结果。,,
62,如何判断数据波动？,CNV-seq,,,生信,数据波动,生信分析人员会根据CNV散点图的数据波动程度、CNV检测结果以及数据波动是否会影响CNV的检出进行判断。,,
63,数据波动的来源可能是什么？数据波动样本有何建议？,CNV-seq,,,生信,数据波动,目前的数据波动有两种，分为数据质量低影响报出，和母源污染报出不准。对于数据波动的样本，一般建议重取样一次看检测结果是否会有改善。对于100K取样两次的数据波动样本且可按照1M标准出报告的情况，会询问客户是否愿意按照1M产品分析得到检测报告。,,
64,一体机分析中心下载的数据包包括哪些文件？,CNV-seq,,,生信,一体机,一体机分析中心下载的数据包包括每个样本的CNV散点图（for_check，cnv.plot文件夹内），检测结果表，以及部分检测中间文件用于辅助生信分析人员进行CNV的审核与判断。,,
65,一体机下载数据库是否包括个体的基因信息？,CNV-seq,,,生信,一体机,一体机下载的数据包均为生信分析的中间文件，不涉及个体的基因信息。,,
66,CNV-seq 若为三倍体，对于NGS生信提示有嵌合体，嵌合体结果是否需要调整？如何调整？,CNV-seq,,,生信,算法,CNV-seq不管样本真实的核型是什么，流程默认样本为二倍体，因此若是三倍体，对于生信自动化输出的嵌合体比例需要进行调整，若1.33<copy ratio<2，则嵌合比例：(CR-1.33)/2*3*100；若0.67<copy ratio<1.33，则嵌合比例：(1.33-CR)/2)*3*100；若CR<0.67，则嵌合比例：(CR-0.67)/2)*3*100。,,
67,CNV-seq检测提示了嵌合体，嵌合比例如何进行计算？,CNV-seq,,,生信,嵌合比例,"嵌合比例是根据copy ratio值进行计算的：
嵌合比例=|CopyRatio值-1| x 2（适用46,XX全部染色体或者46,XY的常染色体）
嵌合比例=|CopyRatio值-1|（适用46,XY的性染色体）",,
68,CNV-seq生信分析环节的人群数据库参考来源？,CNV-seq,,,生信,数据库,CNV-seq生信分析环节的人群数据库主要参考DGV数据库和本地数据库。,,
69,一体机质控结果为何和生信人工审核后的质控结果不一致？主要有哪些原因？,CNV-seq,,,生信,质控,一体机主要对数据量和CV值进行质控，会按照比较严格的标准进行质控。生信人工审核时，会根据染色体图辅助判断数据质量，数据质量较好，数据均一性较高，检测有明确的结果时，可以在一定程度上让步接收样本。,,
70,哪些情况的母源污染生信会进行提示？生信提示母源污染的原理是什么？,CNV-seq,,,生信,母源污染,"对于男胎，生信根据X染色体和Y染色体的嵌合度进行判断母源污染的可能性。若X染色体偏多，Y染色体偏少，且二者的嵌合比例相近，则有可能是母源污染导致。对于孕康100K产品，X染色体和Y染色体的嵌合度大于10%就会提示有母源污染的可能性，提报母源污染。若X染色体和Y染色体的嵌合度约为30%，则怀疑可能是三倍体，也不排除母源污染的可能性，也会提报母源污染。
对于女胎，若常染色体或性染色体有嵌合，则不排除这种嵌合是母源污染导致的，异常的胎儿DNA和正常的母亲DNA可能导致这种嵌合，建议提报母源污染进行排查。",,
71,生信分析结果提示检出性染色体或者常染色体非整倍体嵌合体，不排除母源污染，如何从嵌合怀疑为母源污染的？,CNV-seq,,,生信,母源污染,若女胎的常染色体或性染色体有嵌合，则不排除这种嵌合是母源污染导致的，异常的胎儿DNA和正常的母亲DNA可能导致这种嵌合，建议提报母源污染进行排查；若男胎的性染色体有嵌合，则不排除这种嵌合是母源污染导致的，正常的胎儿XY和正常的母亲XX可能导致这种嵌合，建议提报母源污染进行排查。,,
72,CNV-seq 不同产品的质控指标的范围是什么？,CNV-seq,,,生信,,"100K产品的质控标准分为硬质控和软质控：
硬质控：Unique_Reads：[18M,+o)
软质控：Q30(%)：[85，100]；GC(%)：[38,43]；CV：[0，0.0800]；Duplication：[0, 15]；Map_Rate：[70, 100]
1M产品的质控标准分为硬质控和软质控：
硬质控：Unique_Reads：[4M,+o)
软质控：Q30(%)：[85，100]；GC(%)：[38,43]；CV：[0，0.1000]；Duplication：[0, 15]；Map_Rate：[70, 100]",,
73,CNV解读表格中的data表格是什么？代表了什么信息？,CNV-seq,,,生信,,CNV-seq解读表格的data表包含所有样本所有染色体的嵌合情况，可以辅助生信和解读判断染色体的非整倍性。,,
74,CNVseq生信和解读环节CNV筛选有哪些因素？,CNV-seq,,,生信解读,,"生信环节主要是过滤掉以下信息：
1)过滤多态（高频）位点
2)过滤着丝粒位置的位点
3)过滤灰区位点
解读环节解读后提报的规则包括：
1)报告展示非整倍体或符合性染色体连锁遗传及常染色体显性遗传方式的致病、疑似致病变异及展示缺失或重复大于100kb的临床意义未明变异
2)解读为良性及疑似良性的拷贝数变异不报
3)产前样本不报Y染色体的临床意义未明变异",,
75,CNVseq解读参考规则是什么？,CNV-seq,,CNV解读标准是什么？,解读规则,解读规则,CNV的解读，目前参考的是美国医学遗传学与基因组学会(American College of Medical Genetics and Genomics，ACMG) 2020年发表的最新指南(PMID: 31690835)。改指南采用打分体系分别对CNV缺失和重复进行打分，根据最终分值将CNV的致病性强弱分为5类：>=0.99分：致病变异（P）；0.98~0.90分：可能致病变异（LP）；0.89~-0.89分：不确定意义变异（VUS）；-0.90~-0.98分：可能良性（LB）；<=-0.99分：良性（B）,,公开
76,CNVseq解读主要参考哪些数据库？,CNV-seq,,CNV解读过程主要参考了哪些数据库？,解读规则,数据库,"CNV的解读主要参考了几类数据库：
1、疾病数据库：OMIM、Orphanet、GeneReview等
2、患者数据库：Decipher、ClinVar等数据库
3、人群频率数据库：DGV数据库、GenomAD数据库
4、综合性数据库：ClinGen数据库、UCSC网站",,公开
77,待解读的CNV，既有区段的case，又有区段内基因可以使用的case，应该如何处理？,CNV-seq,,是否所有的OMIM致病基因都需要体现在报告中？,解读规则,解读范围,CNV的解读需要先解读区段，进而对区段内关键的基因进行进一步解读。,,公开
78,哪些OMIM致病基因不需要体现疾病详情在报告中？,CNV-seq,,是否所有的OMIM致病基因都会体现在报告中?,解读规则,报告基因,若CNV区段包含了风险基因、肿瘤易感基因，这些基因关联疾病详情不体现在报告中。,,公开
79,区域内基因信息采用哪个网站注释信息？,CNV-seq,,注释信息中的基因信息来源?,解读规则,CNV基因信息,目前区段内基因信息采用的是UCSC基因，若CNV断点在基因内部，断点在基因内部位置注释参考的转录本是HGMD转录本。,,公开
80,检出CNV只覆盖基因的内含子区域，如何处理？,CNV-seq,,CNV两端断点在同一个基因的内含子区域，如何进行解读？,解读规则,断点；内含子,当待评CNV两端断点均在某个基因同一内含子区域内时可使用1B项减分；如果此内含子区域有缺失的文献可不减分，但是需要证据充分。,,公开
